badge_labels,badge_modifiers,category,changelog,creator,creator_slug,creator_url,description,downloads,gallery,has_trailer,is_free,last_updated,last_updated_iso,launched,launched_iso,min_version,player_range,price_eur,price_minecoins,price_usd,product_slug,product_url,rating_1_count,rating_1_percent,rating_2_count,rating_2_percent,rating_3_count,rating_3_percent,rating_4_count,rating_4_percent,rating_5_count,rating_5_percent,rating_breakdown,rating_count,rating_out_of,rating_value,skin_count,slug,supports_multiplayer,supports_singleplayer,tags,title,trailer_likes,trailer_url,trailer_views,uuid
Mash-Up,,Mashups,Updated to 1.21 textures. | Updated to 1.21 world engine,LinsCraft,linscraft,https://chunk.gg/@linscraft,"For thousands of years, the Chinese garden has combined the beauty of its rocks, trees, and architectures into one living scroll of painting. Take part and experience in this beautiful yet liberating garden! Get Chinese Garden Mash-up by LinsCraft, the popular Minecraft Mash-Up for 1170 Minecoins.",,"https://images.chunk.gg/products/linscraft/chinese-garden-mash-up/thumbnail-103ac3749fc3eb36-640.jpg,https://images.chunk.gg/products/linscraft/chinese-garden-mash-up/screenshot-1-9393f9f5a12d7048-640.jpg,https://images.chunk.gg/products/linscraft/chinese-garden-mash-up/screenshot-2-f56ab24525311405-640.jpg,https://images.chunk.gg/products/linscraft/chinese-garden-mash-up/screenshot-3-dd0fe9e253e7eadc-640.jpg,https://images.chunk.gg/products/linscraft/chinese-garden-mash-up/screenshot-4-4e7e5fe9f5442dc3-640.jpg,https://images.chunk.gg/products/linscraft/chinese-garden-mash-up/screenshot-5-3b43074eca649051-640.jpg,https://images.chunk.gg/products/linscraft/chinese-garden-mash-up/panorama-4daea3f02a7441fd-960.jpg",True,False,"September 18th, 2025",2025-09-18T01:01:40.609Z,"August 4th, 2020",2020-08-04T17:00:00.000Z,1.13.0,,5.78,1170,6.13,chinese-garden-mash-up,https://chunk.gg/@linscraft/chinese-garden-mash-up,260,6,71,2,147,4,385,10,3150,78,"[{""star"": 5, ""count"": 3150, ""percent"": 78}, {""star"": 4, ""count"": 385, ""percent"": 10}, {""star"": 3, ""count"": 147, ""percent"": 4}, {""star"": 2, ""count"": 71, ""percent"": 2}, {""star"": 1, ""count"": 260, ""percent"": 6}]",4013,5,4.5,15,/@linscraft/chinese-garden-mash-up,,,"Creative / Open World,Environmental,Foreign,High Resolution,Landscape,Texture,Lunar New Year,Furniture",Chinese Garden Mash-up,3212,https://www.youtube.com/embed/6ADCr1RdYls?rel=0,298778,cbbe90cb-6bbe-46d0-98e0-70d1a54daa8b
Mash-Up,,Mashups,,Mythicus,mythicus,https://chunk.gg/@mythicus,"It's one block but... random events are triggered from breaking the one block! Can you survive? Get ONE BLOCK MASHUP by Mythicus, the popular Minecraft Mash-Up for 990 Minecoins.",,"https://images.chunk.gg/products/mythicus/one-block-mashup/thumbnail-666e62af8b85978a-640.jpg,https://images.chunk.gg/products/mythicus/one-block-mashup/screenshot-1-54a4273f34e440fa-640.jpg,https://images.chunk.gg/products/mythicus/one-block-mashup/screenshot-2-e19c9346dd068c4d-640.jpg,https://images.chunk.gg/products/mythicus/one-block-mashup/screenshot-3-328cb73219e7e408-640.jpg,https://images.chunk.gg/products/mythicus/one-block-mashup/screenshot-4-aab3cc710b3d9545-640.jpg,https://images.chunk.gg/products/mythicus/one-block-mashup/screenshot-5-c59745b61798814e-640.jpg,https://images.chunk.gg/products/mythicus/one-block-mashup/panorama-a938b1849993b78a-1920.jpg",False,False,"April 28th, 2023",2023-04-28T18:00:22.055Z,"July 14th, 2020",2020-07-14T17:00:00.000Z,1.13.0,,4.89,990,5.19,one-block-mashup,https://chunk.gg/@mythicus/one-block-mashup,206,19,30,3,51,5,100,9,717,65,"[{""star"": 5, ""count"": 717, ""percent"": 65}, {""star"": 4, ""count"": 100, ""percent"": 9}, {""star"": 3, ""count"": 51, ""percent"": 5}, {""star"": 2, ""count"": 30, ""percent"": 3}, {""star"": 1, ""count"": 206, ""percent"": 19}]",1104,5,4.0,32,/@mythicus/one-block-mashup,,,"Survival / Skyblock,Block,Sky,Lucky,Teen,Air Structure,Texture,Skin",ONE BLOCK MASHUP,,,,7418c7de-1021-425a-8da3-a7a28c51013e
Mash-Up,,Mashups,,Honeyfrost,honeyfrost,https://chunk.gg/@honeyfrost,"This is the California Mash-Up! Fly in via LAX, hop into one of 29 vehicles, and visit: Get California Mashup by Honeyfrost, the popular Minecraft Mash-Up for 990 Minecoins.",,"https://images.chunk.gg/products/honeyfrost/california-mashup/thumbnail-119dc5880d84a40d-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-1-d0a44af13814ac80-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-2-ac6896018c66c0e2-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-3-c2b916cb37cc07dc-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-4-cdafb802fc23f408-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-5-7893e9a72cb41dc7-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-6-aa7ad148855bd1a0-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-7-1bdae515b0b42197-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-8-126cd3e31e3d2ccb-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-9-4258a0ce8952448c-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/screenshot-10-370723c79f44cb55-640.jpg,https://images.chunk.gg/products/honeyfrost/california-mashup/panorama-280e1d1ae25fd8fc-1920.jpg",False,False,"May 9th, 2023",2023-05-09T18:06:23.306Z,"May 9th, 2023",2023-05-09T17:00:00.000Z,1.16.0,,4.89,990,5.19,california-mashup,https://chunk.gg/@honeyfrost/california-mashup,239,9,60,2,96,3,262,9,2144,77,"[{""star"": 5, ""count"": 2144, ""percent"": 77}, {""star"": 4, ""count"": 262, ""percent"": 9}, {""star"": 3, ""count"": 96, ""percent"": 3}, {""star"": 2, ""count"": 60, ""percent"": 2}, {""star"": 1, ""count"": 239, ""percent"": 9}]",2801,5,4.4,9,/@honeyfrost/california-mashup,,,"Survival / Open World,Exploration,Pop Culture,Planes,Cars,Mansion,Movie,Craftable Furniture,Animals",California Mashup,,,,7a97a996-e1cd-4ae6-a6e0-95efa609c2a7
